file_path,file_size,stream_type,buffer_size,file_sum,avg_time
data/comp_cast_type.csv,45,buffered_stream,8192,45,0.0124
data/kind_type.csv,85,buffered_stream,8192,85,0.0111
data/company_type.csv,92,buffered_stream,8192,92,0.0082
data/link_type.csv,261,buffered_stream,8192,261,0.0084
data/info_type.csv,1928,buffered_stream,8192,1928,0.025
data/movie_link.csv,656584,buffered_stream,8192,656584,5.0975
data/complete_cast.csv,2414495,buffered_stream,8192,2414495,22.869
data/keyword.csv,3791536,buffered_stream,8192,3791536,26.4711
data/company_name.csv,17802021,buffered_stream,8192,17802021,46.2912
data/movie_info_idx.csv,35335875,buffered_stream,8192,35335875,241.0742
data/aka_title.csv,38858446,buffered_stream,8192,38858446,74.9505
data/aka_name.csv,73004383,buffered_stream,8192,73004383,177.6381
data/movie_companies.csv,93112104,buffered_stream,8192,93112104,480.2
data/movie_keyword.csv,93799307,buffered_stream,8192,93799307,759.1496
data/person_info.csv,187108864,buffered_stream,8192,187108864,338.5098
data/char_name.csv,215711567,buffered_stream,8192,215711567,594.3131
data/name.csv,321191609,buffered_stream,8192,321191609,810.7442
data/movie_info.csv,963782656,buffered_stream,8192,963782656,2931.7846
data/cast_info.csv,1418137141,buffered_stream,8192,1418137141,6656.7058
