file_path,file_size,stream_type,buffer_size,file_sum,avg_time_100,avg_time_1000,avg_time_10000
data/comp_cast_type.csv,45,buffered_stream,256,72619,0.9506,8.8562,90.1519
data/kind_type.csv,85,buffered_stream,256,67735,0.8708,8.9137,87.0344
data/company_type.csv,92,buffered_stream,256,122603,0.881,8.7987,87.0231
data/link_type.csv,261,buffered_stream,256,85611,0.8975,8.8054,88.3673
data/info_type.csv,1928,buffered_stream,256,99292,0.9528,9.2103,91.8731
data/movie_link.csv,656584,buffered_stream,256,116326,1.0717,10.6388,105.5787
data/complete_cast.csv,2414495,buffered_stream,256,94512,1.092,10.7619,106.1523
data/keyword.csv,3791536,buffered_stream,256,156319,1.2545,12.1001,169.5952
data/company_name.csv,17802021,buffered_stream,256,386174,1.5981,19.0419,138.9529
data/movie_info_idx.csv,35335875,buffered_stream,256,135294,1.1387,11.2071,111.0098
data/aka_title.csv,38858446,buffered_stream,256,558570,1.4827,14.5198,144.1595
data/aka_name.csv,73004383,buffered_stream,256,414196,1.3897,13.5922,135.9052
data/movie_companies.csv,93112104,buffered_stream,256,207242,1.1623,11.4892,113.5357
data/movie_keyword.csv,93799307,buffered_stream,256,109561,1.1304,11.1037,110.2917
data/person_info.csv,187108864,buffered_stream,256,5388612,1.3171,12.91,127.8191
data/char_name.csv,215711567,buffered_stream,256,353802,1.4435,14.3804,141.9647
data/name.csv,321191609,buffered_stream,256,392225,1.435,14.0351,142.8814
data/movie_info.csv,963782656,buffered_stream,256,1546688,1.2476,12.1917,120.6824
data/cast_info.csv,1418137141,buffered_stream,256,212674,1.1803,11.7145,116.8988
