file_path,file_size,stream_type,buffer_size,file_sum,avg_time_100,avg_time_1000,avg_time_10000
data/comp_cast_type.csv,45,buffered_stream,8192,71352,0.9597,9.5516,91.18
data/kind_type.csv,85,buffered_stream,8192,67183,0.8749,9.4779,88.2762
data/company_type.csv,92,buffered_stream,8192,124102,0.8779,9.5186,87.899
data/link_type.csv,261,buffered_stream,8192,84916,0.9129,9.9284,89.4597
data/info_type.csv,1928,buffered_stream,8192,99656,0.9205,10.0574,91.8096
data/movie_link.csv,656584,buffered_stream,8192,114683,1.0656,11.0925,105.7995
data/complete_cast.csv,2414495,buffered_stream,8192,94758,1.0873,11.6781,106.6307
data/keyword.csv,3791536,buffered_stream,8192,156986,1.2056,12.9418,120.4165
data/company_name.csv,17802021,buffered_stream,8192,385717,1.4185,15.1795,139.3034
data/movie_info_idx.csv,35335875,buffered_stream,8192,135385,1.1376,11.8101,111.3853
data/aka_title.csv,38858446,buffered_stream,8192,550704,1.4722,15.3345,144.3102
data/aka_name.csv,73004383,buffered_stream,8192,415240,1.3824,14.5459,135.5881
data/movie_companies.csv,93112104,buffered_stream,8192,205916,1.159,12.6438,114.2929
data/movie_keyword.csv,93799307,buffered_stream,8192,109360,1.1187,11.8543,110.8902
data/person_info.csv,187108864,buffered_stream,8192,5574238,1.3204,13.6963,128.2036
data/char_name.csv,215711567,buffered_stream,8192,349709,1.4495,15.3233,143.0979
data/name.csv,321191609,buffered_stream,8192,391063,1.4133,15.4642,140.3649
data/movie_info.csv,963782656,buffered_stream,8192,1576907,1.2361,13.1968,122.3687
data/cast_info.csv,1418137141,buffered_stream,8192,211963,1.1844,12.8233,117.262
