file_path,file_size,stream_type,buffer_size,file_sum,avg_time
data/comp_cast_type.csv,45,mmap_stream,20480,45,0.011
data/kind_type.csv,85,mmap_stream,20480,85,0.0101
data/company_type.csv,92,mmap_stream,20480,92,0.0087
data/link_type.csv,261,mmap_stream,20480,261,0.0203
data/info_type.csv,1928,mmap_stream,20480,1928,0.0972
data/movie_link.csv,656584,mmap_stream,20480,675771,28.1985
data/complete_cast.csv,2414495,mmap_stream,20480,2416407,121.1155
data/keyword.csv,3791536,mmap_stream,20480,3808538,126.3369
data/company_name.csv,17802021,mmap_stream,20480,17808543,208.3983
data/movie_info_idx.csv,35335875,mmap_stream,20480,35342388,1287.2884
data/aka_title.csv,38858446,mmap_stream,20480,38843904,325.2548
data/aka_name.csv,73004383,mmap_stream,20480,72971725,800.5635
data/movie_companies.csv,93112104,mmap_stream,20480,93096614,1911.2358
data/movie_keyword.csv,93799307,mmap_stream,20480,93807471,4043.4964
data/person_info.csv,187108864,mmap_stream,20480,184711727,1302.4665
data/char_name.csv,215711567,mmap_stream,20480,215616961,2776.0952
data/name.csv,321191609,mmap_stream,20480,321048053,3680.7552
data/movie_info.csv,963782656,mmap_stream,20480,963493219,22965.4709
data/cast_info.csv,1418137141,mmap_stream,20480,1417788415,34768.4694
